Nr Code,Variable Name,Is TT,LV Match,LV Text,EN Match,EN Text,Consensus Vote,Consensus Text,Consensus Reasoning,Include
NR128,Gaisa spilveni – sānu,N,Yes,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni",Yes,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni",Yes (3Y/0M/0N),"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni","The specification mentions ""Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni,"" which translates to driver and passenger airbags, side and curtain airbags.; The specification text mentions ""sānu un aizkarveida gaisa drošības spilveni,"" indicating side airbags.; The text mentions side airbags.",☑
NR129,Signalizācija – perimetra,N,No,,No,,No (0Y/1M/2N),Rūpnīcā uzstādīta signalizācija,"No mention of a perimeter alarm in the specification text.; The specification mentions a factory-installed alarm, which could include perimeter alarm features.; The specification text does not mention perimeter alarm.",☐
NR130,Bezatslēgas iedarbināšana,N,No,,No,,No (0Y/0M/3N),,No mention of keyless start in the specification text.; There is no mention of keyless start in the specification text.; The specification text does not mention keyless start.,☐
NR131,Bezatslēgas piekļuve un iedarbināšana,N,No,,No,,No (0Y/0M/3N),,No mention of keyless entry and start in the specification text.; There is no mention of keyless entry and start in the specification text.; The specification text does not mention keyless entry and start.,☐
NR132,Garantija,Y,,,,,,,,
NR133,Papildus garantija – 3 gadi,N,No,,No,,Maybe (1Y/0M/2N),Garantija: Jauna automobiļa garantija,"No mention of a 3-year extended warranty in the specification text.; The specification text mentions a ""Jauna automobiļa garantija,"" which translates to new vehicle warranty, implying a standard warranty.; The specification text does not mention an additional 3-year warranty.",☑
NR134,Papildus garantija – 4 gadi,N,No,,No,,No (0Y/0M/3N),,No mention of a 4-year extended warranty in the specification text.; There is no mention of a 4-year additional warranty in the specification text.; The specification text does not mention an additional 4-year warranty.,☐
NR135,Papildus garantija – 5 gadi,N,No,,No,,No (0Y/0M/3N),,No mention of a 5-year extended warranty in the specification text.; There is no mention of a 5-year additional warranty in the specification text.; The specification text does not mention an additional 5-year warranty.,☐
NR136,Papildus garantija – 6 gadi,N,No,,No,,No (0Y/0M/3N),,No mention of a 6-year extended warranty in the specification text.; There is no mention of a 6-year additional warranty in the specification text.; The specification text does not mention an additional 6-year warranty.,☐
NR137,Papildus garantija – 7 gadi,N,No,,No,,No (0Y/0M/3N),,No mention of a 7-year extended warranty in the specification text.; There is no mention of a 7-year additional warranty in the specification text.; The specification text does not mention an additional 7-year warranty.,☐
NR138,8 gadu akumulatora garantija,N,No,,No,,No (0Y/0M/3N),,No mention of an 8-year battery warranty in the specification text.; There is no mention of an 8-year battery warranty in the specification text.; The specification text does not mention an 8-year battery warranty.,☐
